med_anonym,med_real
84.3203,78.2192
90.98570000000001,87.57045
64.1014,66.2205
56.2061,61.0936
64.22935,58.44345
56.3217,57.706649999999996
68.019,65.09
62.4947,58.026650000000004
85.49265,78.86775
65.2783,59.3439
73.4094,76.2299
71.2923,69.6894
51.1358,54.342
70.9667,67.8458
55.466899999999995,60.15935
70.0284,67.14134999999999
68.4776,63.9978
59.183499999999995,60.5768
59.2085,54.4196
59.9554,63.5794
64.58,61.977
52.5592,56.7594
60.24065,58.03530000000001
63.7011,67.6232
51.3857,52.5416
68.9044,75.5531
55.7655,61.012600000000006
49.53845,52.532849999999996
66.6554,70.2375
78.868,71.6982
53.8057,49.9125
54.0055,57.7599
54.3383,57.4401
77.9404,72.1003
66.1966,68.2439
67.6303,73.9129
72.9438,75.1998
61.349,55.9754
61.3316,58.1342
74.4487,79.0326
66.3204,64.1397
71.9833,74.28620000000001
77.8964,80.3056
64.399,60.5823
66.4013,68.6673
81.4926,75.5961
66.1569,62.8271
45.2592,49.302
76.273,72.434
72.3364,70.5033
