max_anonym,max_real
94.98,88.24
72.59,67.44
91.5,85.01
67.85,63.04
87.22,81.03
74.24,68.97
89.32,82.98
100.86,93.71
97.79,90.86
71.55,66.47
84.25,78.27
81.11,75.36
67.91,63.1
81.41,75.63
99.81,92.73
74.21,68.95
87.06,80.89
94.12,87.44
90.91,84.46
83.23,77.33
91.04,84.58
67.07,62.32
84.33,78.35
73.25,68.05
96.1,89.29
96.39,89.55
71.73,66.65
74.48,69.19
72.82,67.66
71.75,66.66
90.47,84.05
71.47,66.4
100.19,93.08
81.69,75.89
97.77,90.84
101.18,94.0
85.45,79.39
66.63,61.91
68.06,63.23
89.58,83.23
68.77,63.9
79.25,73.63
89.53,83.18
75.38,70.03
80.06,74.38
93.65,87.01
91.46,84.97
77.32,71.84
94.68,87.97
84.32,78.34
87.13,80.95
70.53,65.53
84.5,78.51
83.21,77.31
80.77,75.04
68.61,63.74
73.71,68.48
86.64,80.49
85.91,79.82
69.61,64.68
75.79,70.41
93.07,86.47
81.18,75.42
97.15,90.26
69.1,64.2
83.29,77.38
79.26,73.64
92.44,85.89
93.45,86.82
80.23,74.54
79.91,74.25
72.62,67.47
71.69,66.6
79.31,73.69
74.91,69.6
87.23,81.05
75.57,70.21
86.36,80.24
95.29,88.53
97.77,90.84
74.12,68.86
74.91,69.59
78.25,72.7
96.37,89.54
99.76,92.69
81.62,75.83
93.72,87.07
95.58,88.8
96.53,89.69
76.52,71.09
86.53,80.4
79.94,74.27
93.67,87.02
97.06,90.17
84.23,78.25
92.14,85.6
69.79,64.84
68.61,63.74
79.98,74.3
81.7,75.9
96.14,89.32
81.31,75.54
76.58,71.15
93.24,86.62
84.6,78.6
86.77,80.62
82.25,76.41
78.86,73.27
73.0,67.82
71.91,66.81
87.55,81.34
77.42,71.93
78.1,72.56
86.45,80.32
97.92,90.98
97.27,90.37
81.85,76.05
85.7,79.62
68.83,63.95
91.29,84.82
100.29,93.18
85.69,79.61
81.83,76.03
91.74,85.24
89.9,83.53
88.67,82.38
68.61,63.75
100.92,93.76
95.12,88.37
96.78,89.92
70.64,65.63
79.8,74.14
73.46,68.25
94.31,87.62
94.67,87.95
70.36,65.37
82.35,76.51
68.26,63.42
89.67,83.31
94.44,87.74
92.26,85.72
94.11,87.44
98.53,91.54
85.12,79.08
82.12,76.29
85.48,79.42
79.55,73.91
97.25,90.36
83.55,77.62
82.89,77.01
95.26,88.5
78.87,73.27
70.3,65.31
86.63,80.49
89.11,82.79
72.6,67.46
68.03,63.21
81.55,75.77
77.25,71.78
79.02,73.41
95.38,88.61
93.29,86.67
84.07,78.11
94.03,87.36
78.32,72.76
83.44,77.52
95.43,88.66
70.59,65.58
84.11,78.15
88.99,82.68
84.91,78.89
74.11,68.86
81.03,75.29
98.47,91.49
69.87,64.91
88.3,82.04
93.14,86.53
98.73,91.73
82.65,76.79
68.17,63.33
87.89,81.66
66.22,61.52
92.36,85.81
69.1,64.2
90.86,84.42
68.13,63.3
75.34,70.0
96.24,89.42
97.28,90.38
71.62,66.54
84.05,78.09
99.27,92.23
97.69,90.76
95.43,88.66
74.57,69.28
80.56,74.85
86.59,80.45
72.83,67.67
77.59,72.09
85.91,79.82
98.55,91.56
79.21,73.59
83.99,78.04
81.81,76.0
94.18,87.5
98.87,91.86
78.63,73.06
99.54,92.48
69.02,64.12
67.88,63.07
92.97,86.37
91.28,84.81
98.27,91.3
90.67,84.24
92.82,86.23
79.13,73.52
97.42,90.51
84.55,78.55
71.43,66.37
79.07,73.46
79.38,73.75
81.85,76.05
76.39,70.98
89.57,83.22
66.0,61.32
70.51,65.51
89.02,82.7
85.99,79.89
76.52,71.09
87.11,80.93
94.44,87.74
75.28,69.94
91.7,85.2
82.89,77.01
89.51,83.16
98.8,91.79
69.37,64.45
90.68,84.25
89.57,83.22
70.23,65.25
73.34,68.14
91.23,84.76
96.52,89.67
93.65,87.0
98.58,91.59
88.17,81.92
87.73,81.5
84.01,78.05
76.03,70.64
88.79,82.49
90.89,84.45
70.28,65.3
69.92,64.96
74.46,69.18
69.53,64.6
72.35,67.22
86.48,80.35
90.8,84.36
93.29,86.67
66.33,61.62
83.79,77.85
66.7,61.97
88.93,82.62
96.49,89.64
97.76,90.83
94.56,87.85
71.99,66.89
97.31,90.41
86.34,80.21
69.01,64.11
83.27,77.37
83.12,77.22
67.28,62.51
68.53,63.67
85.64,79.57
71.41,66.35
100.61,93.48
71.81,66.72
70.78,65.76
78.14,72.6
88.47,82.2
94.6,87.89
83.24,77.34
74.23,68.97
82.81,76.94
89.38,83.04
86.0,79.9
98.7,91.7
75.79,70.42
82.15,76.32
73.28,68.08
86.41,80.28
82.09,76.26
95.54,88.76
76.29,70.87
74.99,69.67
98.6,91.61
79.8,74.14
85.56,79.49
71.44,66.37
93.39,86.77
100.55,93.42
76.29,70.88
77.99,72.46
84.86,78.84
67.02,62.26
88.11,81.86
86.31,80.19
80.56,74.85
73.08,67.89
69.68,64.74
100.28,93.16
76.08,70.69
77.33,71.85
69.32,64.4
82.74,76.87
90.07,83.68
93.33,86.71
85.83,79.74
75.76,70.39
98.36,91.38
99.16,92.13
85.5,79.44
86.42,80.29
76.08,70.69
95.53,88.75
81.63,75.84
71.27,66.21
74.67,69.38
71.02,65.98
86.24,80.12
68.12,63.29
72.53,67.38
90.22,83.82
90.0,83.62
77.51,72.02
75.68,70.31
83.68,77.74
96.18,89.35
86.22,80.1
70.21,65.23
86.63,80.48
86.69,80.54
73.25,68.06
97.46,90.55
87.1,80.92
96.54,89.69
78.12,72.58
83.99,78.03
79.03,73.43
65.93,61.25
69.69,64.75
97.23,90.34
86.47,80.34
86.22,80.1
80.39,74.69
72.76,67.6
89.98,83.6
92.83,86.24
92.25,85.71
86.23,80.12
69.14,64.24
97.42,90.51
84.87,78.85
85.04,79.01
70.55,65.54
97.26,90.36
74.92,69.61
97.36,90.46
81.57,75.78
83.52,77.6
73.91,68.66
73.88,68.64
97.97,91.02
81.06,75.31
73.38,68.18
88.64,82.35
80.78,75.05
92.57,86.01
86.47,80.34
96.54,89.69
94.96,88.22
80.36,74.66
84.7,78.69
95.98,89.17
68.04,63.22
93.85,87.19
80.93,75.19
72.97,67.8
75.96,70.57
86.33,80.21
84.32,78.34
93.79,87.14
85.02,78.99
