med_anonym,med_real
79.06,81.42
77.17,85.27
95.43,98.18
103.58,97.08
97.02,94.28
85.87,78.13
82.22,78.6
98.8,89.9
110.92,101.3
84.71,91.97
75.21,70.48
110.61,101.94
96.02,99.4
96.97,89.37
83.67,89.39
70.13,65.24
95.89,91.07
107.78,100.54
87.57,92.18
90.63,88.07
98.47,109.18
108.76,102.89
85.7,79.06
61.46,64.97
99.42,97.37
77.12,70.88
88.81,85.73
92.09,89.67
99.35,90.81
72.26,75.9
81.74,88.46
79.07,75.52
80.2,85.5
73.62,67.86
67.54,73.33
73.02,69.61
85.4,80.72
65.77,71.96
89.74,92.34
78.04,73.07
70.76,64.74
102.04,100.04
89.34,94.64
74.32,76.16
72.72,80.71
72.3,69.99
86.62,96.03
84.46,86.63
82.13,87.93
89.76,94.49
79.04,83.91
79.71,76.35
88.57,95.55
77.62,79.85
101.64,94.99
92.57,87.99
55.72,59.58
99.84,92.1
89.85,82.13
100.28,102.53
59.53,62.79
103.08,107.04
56.93,63.26
95.72,104.5
65.71,72.05
110.22,107.52
61.6,66.3
98.73,92.27
71.09,75.79
72.77,67.63
84.25,80.54
60.78,64.94
64.85,69.59
86.8,89.95
106.47,99.13
80.2,85.5
78.17,80.26
66.41,68.39
76.12,84.49
92.66,90.4
95.16,88.03
63.06,60.58
84.39,89.21
95.09,103.36
62.77,64.78
80.43,76.31
60.42,66.76
74.15,77.72
81.94,87.17
90.64,99.5
98.57,90.19
86.71,83.37
67.58,64.3
109.76,100.97
96.21,88.34
91.17,94.48
75.74,80.31
90.47,97.7
89.03,95.01
80.05,77.34
68.38,74.98
88.36,91.09
96.1,99.17
89.77,87.76
80.11,76.66
93.06,95.65
70.52,65.35
113.34,104.75
93.87,86.27
103.81,99.92
79.19,86.26
81.54,78.1
82.71,76.59
73.32,75.12
63.55,62.18
107.04,104.84
74.94,80.66
73.71,79.68
92.54,89.5
86.62,89.2
105.96,98.3
76.29,72.8
83.49,76.53
76.57,83.5
102.23,95.18
83.66,77.11
82.73,90.51
102.12,98.96
88.23,82.92
74.58,81.5
83.12,77.54
74.66,69.91
104.67,100.36
93.02,89.09
65.61,68.34
96.45,92.74
86.9,81.91
80.36,89.09
89.74,87.72
56.81,60.37
70.21,73.75
67.46,70.49
76.34,74.85
80.81,82.97
109.05,103.17
66.31,71.15
79.13,76.97
87.41,93.89
78.74,87.49
108.7,102.74
92.26,98.05
98.9,96.39
77.08,84.06
107.65,102.53
75.19,81.38
72.08,68.19
77.73,73.67
87.64,83.71
71.51,78.85
95.83,93.22
66.31,72.47
79.85,86.23
79.44,75.22
68.81,76.28
65.44,71.75
89.41,82.26
104.38,99.03
82.4,89.37
96.78,91.3
59.52,65.56
62.83,69.42
61.89,64.6
76.81,85.25
76.61,73.95
84.19,93.44
75.6,82.44
123.74,118.41
65.36,70.73
104.05,96.25
79.46,87.22
70.23,68.32
89.64,84.88
97.94,93.72
70.79,74.52
104.75,99.0
92.3,86.18
84.88,86.61
64.21,70.4
88.6,82.95
89.49,93.8
108.66,105.18
94.15,88.48
97.84,91.27
68.17,70.87
78.17,80.26
69.87,74.65
85.42,94.18
102.58,100.57
104.33,94.84
95.6,90.79
62.42,68.68
87.62,95.02
97.07,89.72
100.32,91.88
85.04,87.31
82.26,78.72
82.1,80.49
89.93,96.38
88.04,82.51
78.22,83.75
93.83,96.74
69.34,75.62
81.17,82.82
68.15,72.66
93.87,95.78
97.73,92.46
104.27,96.1
84.43,89.15
