med_anonym,med_real
90.3,99.34
66.62,72.48
98.44,93.58
103.52,96.84
85.26,80.52
73.38,67.87
67.49,69.22
79.25,82.9
85.49,88.96
104.37,97.09
75.5,73.8
76.04,71.33
62.97,67.35
82.88,78.85
78.04,86.14
91.79,97.54
103.17,93.96
72.75,76.9
85.19,81.6
89.83,82.94
100.62,109.72
82.69,91.17
73.85,71.77
90.18,87.38
70.74,75.9
78.3,75.73
75.41,79.46
77.56,72.76
64.88,66.74
77.66,81.58
80.52,75.9
83.01,80.91
67.97,74.04
91.64,89.15
76.36,69.99
87.55,91.1
85.8,92.25
70.49,68.64
63.29,67.84
72.36,69.11
73.25,70.77
62.8,68.63
84.57,89.3
62.6,65.82
95.47,104.12
76.32,82.78
74.76,69.54
89.18,98.65
71.46,79.4
81.17,79.42
77.03,71.59
95.15,92.47
74.11,78.68
60.71,64.25
105.72,115.54
101.59,94.85
92.66,84.62
77.96,83.92
70.58,67.54
75.09,71.72
90.28,96.34
100.76,93.82
69.65,67.16
86.08,80.29
78.37,83.55
83.19,91.02
68.61,72.61
85.66,83.81
73.38,75.1
94.89,102.69
75.88,83.03
76.72,85.24
69.03,72.06
94.68,92.72
69.06,75.07
76.6,78.9
94.1,85.62
91.66,88.22
95.28,90.92
71.09,77.36
90.33,84.66
77.52,74.19
71.13,75.35
76.96,75.3
73.22,70.88
68.09,73.77
80.59,83.6
72.43,77.3
72.97,76.73
69.51,66.14
60.98,64.94
66.3,67.79
71.29,67.7
75.68,83.44
98.61,95.18
87.51,95.43
99.58,94.93
65.84,72.59
88.1,80.38
90.32,98.49
85.57,93.42
81.26,85.9
86.23,92.42
83.98,86.13
76.74,70.02
63.0,68.78
90.72,94.6
71.75,66.74
76.44,71.91
96.39,88.43
68.1,65.67
92.74,89.52
62.1,63.69
68.96,71.31
87.28,92.85
93.65,90.92
101.98,96.02
83.63,78.6
101.7,96.86
114.21,108.25
93.19,91.18
85.38,79.21
83.75,90.54
66.64,68.0
77.87,72.91
66.15,72.22
71.41,68.01
82.04,78.13
97.8,90.06
74.61,69.92
88.77,90.67
86.74,84.21
65.66,68.19
84.17,79.71
84.64,76.95
79.45,82.16
68.29,72.34
80.65,87.76
103.12,99.63
65.55,67.79
74.04,71.81
80.71,77.98
66.96,71.24
82.19,85.62
112.72,104.86
64.11,69.84
70.98,76.4
70.02,77.37
100.36,97.06
67.62,70.14
85.54,81.78
89.04,93.24
93.23,101.44
83.94,79.41
62.22,68.22
93.96,85.96
93.04,85.29
71.53,69.51
118.53,123.99
87.22,85.51
93.33,99.08
73.02,70.21
84.44,88.05
77.99,85.04
78.54,75.02
88.69,81.0
85.8,82.97
102.72,100.42
100.84,94.5
85.0,91.01
77.58,70.78
86.94,82.57
71.11,72.64
75.35,79.06
86.25,81.37
68.54,74.41
92.15,98.02
77.15,80.11
77.69,86.32
58.88,64.7
74.85,77.81
89.96,85.52
67.88,64.46
94.8,86.74
88.54,98.16
77.54,79.37
72.75,66.44
129.91,125.51
67.24,65.66
86.08,94.28
84.2,90.24
82.06,83.99
72.94,77.1
77.45,85.02
75.9,83.22
68.95,64.5
88.02,90.09
97.85,94.09
89.02,83.2
75.48,82.67
69.86,76.52
80.07,74.42
69.25,73.91
82.87,80.62
87.06,85.35
85.34,90.98
65.37,70.74
80.98,79.0
124.21,121.65
92.26,89.57
92.07,94.33
72.77,69.5
90.5,98.26
122.14,111.54
87.58,96.88
83.44,86.12
90.24,83.02
92.78,84.82
90.39,87.93
141.23,132.85
85.49,89.89
75.14,69.83
99.38,91.51
70.69,66.31
79.84,87.84
79.73,77.64
70.05,75.33
79.12,84.98
89.74,93.2
83.23,76.22
76.85,81.75
98.31,95.54
71.73,70.05
86.08,89.96
75.37,72.47
73.02,70.15
85.22,87.49
76.8,84.4
66.83,68.82
76.37,74.22
83.65,89.17
72.53,68.3
73.94,79.59
95.77,89.09
84.53,77.54
86.61,89.75
95.02,93.16
82.78,86.41
74.11,77.76
77.7,72.68
105.06,98.56
93.1,85.81
132.5,126.19
77.64,83.3
90.71,88.93
61.14,67.7
83.44,89.43
75.92,82.08
90.68,95.85
74.02,77.91
107.23,98.92
63.97,69.01
85.22,80.55
