avg_anonym,avg_real
93.36,86.74
97.48,90.56
93.59,86.95
68.56,63.7
85.96,79.86
70.05,65.08
90.34,83.93
65.58,60.93
76.35,70.93
142.5,132.39
98.7,91.7
86.23,80.12
76.47,71.05
91.55,85.06
78.8,73.21
81.52,75.74
80.31,74.62
72.75,67.59
93.01,86.41
81.87,76.06
87.48,81.28
98.97,91.95
77.31,71.83
78.53,72.96
96.69,89.83
83.2,77.3
77.46,71.96
103.46,96.12
83.03,77.14
80.4,74.69
90.92,84.47
69.48,64.55
78.67,73.09
105.2,97.73
105.54,98.05
79.8,74.14
95.94,89.13
70.87,65.84
72.34,67.2
84.71,78.71
66.19,61.49
83.52,77.59
73.0,67.82
74.15,68.89
69.65,64.71
83.62,77.69
97.51,90.59
116.63,108.36
117.24,108.92
93.58,86.94
73.81,68.57
95.63,88.84
99.82,92.74
97.94,91.0
69.11,64.21
73.68,68.45
99.32,92.28
85.6,79.52
71.58,66.5
70.17,65.19
83.25,77.34
91.62,85.12
90.75,84.32
100.27,93.16
74.27,69.0
78.38,72.82
92.68,86.11
83.0,77.11
106.74,99.17
105.83,98.32
97.98,91.03
73.56,68.34
87.51,81.3
92.6,86.03
88.02,81.78
75.66,70.29
103.91,96.54
102.66,95.38
74.63,69.34
70.71,65.69
82.18,76.35
93.34,86.72
72.97,67.8
84.15,78.18
72.04,66.93
77.83,72.31
84.74,78.73
94.05,87.38
89.16,82.84
104.79,97.36
91.24,84.77
74.86,69.55
119.17,110.72
82.94,77.05
98.57,91.58
82.65,76.79
125.41,116.52
88.82,82.52
78.81,73.22
106.16,98.63
72.96,67.78
114.36,106.25
103.77,96.41
92.77,86.19
93.12,86.52
102.16,94.91
75.11,69.78
85.05,79.02
83.83,77.89
99.08,92.06
96.97,90.1
75.84,70.46
77.24,71.77
87.31,81.12
70.02,65.06
101.85,94.62
90.76,84.32
83.42,77.5
88.12,81.87
78.74,73.15
82.65,76.79
81.28,75.52
75.42,70.07
74.18,68.92
97.43,90.52
101.78,94.56
97.73,90.8
86.67,80.53
99.53,92.47
101.71,94.5
67.52,62.73
83.36,77.45
92.04,85.51
79.64,73.99
104.82,97.39
81.96,76.15
88.19,81.94
71.17,66.12
94.66,87.95
101.97,94.74
106.3,98.76
80.18,74.49
78.69,73.1
81.67,75.87
87.68,81.46
132.99,123.56
67.53,62.74
75.29,69.95
100.95,93.79
100.67,93.53
78.18,72.63
92.24,85.69
93.87,87.21
103.43,96.09
79.49,73.85
92.7,86.13
100.48,93.36
89.77,83.4
90.94,84.49
78.46,72.89
72.56,67.41
93.28,86.66
98.66,91.66
88.05,81.8
85.36,79.31
98.51,91.53
82.42,76.57
71.3,66.24
82.74,76.87
99.51,92.45
79.5,73.86
73.92,68.67
81.83,76.02
98.14,91.18
75.77,70.39
85.24,79.19
100.33,93.22
106.1,98.58
91.41,84.92
80.29,74.6
122.17,113.51
88.6,82.32
94.68,87.96
