max_anonym,max_real
112.45,108.97
118.55,114.88
109.5,106.11
81.93,79.4
101.49,98.35
82.66,80.1
104.62,101.38
75.86,73.51
91.13,88.3
217.82,211.07
116.65,113.04
103.52,100.31
90.39,87.59
107.5,104.17
91.76,88.92
96.21,93.23
94.83,91.89
81.16,78.64
106.55,103.25
91.85,89.01
104.48,101.24
113.01,109.51
95.99,93.02
88.53,85.79
116.39,112.78
98.76,95.7
95.94,92.97
142.43,138.02
95.57,92.61
90.69,87.88
107.02,103.7
83.62,81.03
90.12,87.33
123.79,119.96
124.29,120.45
91.11,88.29
114.41,110.87
81.69,79.16
87.44,84.73
98.29,95.25
76.39,74.02
100.0,96.9
88.73,85.98
88.73,85.98
80.83,78.33
98.62,95.57
111.16,107.72
181.4,175.78
180.47,174.88
109.41,106.02
85.0,82.37
131.8,127.72
118.08,114.42
117.04,113.42
80.76,78.26
89.29,86.53
120.06,116.34
101.14,98.01
83.97,81.37
83.54,80.96
101.84,98.68
104.88,101.63
109.34,105.95
121.81,118.03
83.51,80.93
93.1,90.22
110.48,107.06
100.84,97.72
129.74,125.72
158.5,153.59
119.37,115.67
85.17,82.53
97.85,94.82
105.49,102.22
99.05,95.98
88.12,85.39
124.53,120.68
114.94,111.38
86.53,83.85
80.51,78.02
98.04,95.0
113.93,110.41
85.75,83.09
94.01,91.1
83.43,80.85
93.64,90.74
96.2,93.22
109.73,106.33
104.37,101.14
126.86,122.94
110.72,107.29
86.27,83.6
177.37,171.88
95.75,92.78
114.99,111.43
98.52,95.47
196.85,190.75
105.22,101.96
91.85,89.01
125.7,121.81
84.85,82.22
160.0,155.05
122.51,118.72
110.47,107.05
113.37,109.86
119.57,115.87
88.95,86.2
98.17,95.13
99.88,96.79
116.73,113.12
118.05,114.39
87.17,84.48
92.69,89.82
99.6,96.52
80.24,77.76
120.23,116.51
101.2,98.07
92.95,90.07
106.31,103.02
92.7,89.83
97.81,94.78
92.95,90.07
91.15,88.33
91.84,88.99
113.08,109.58
120.43,116.7
110.1,106.69
105.21,101.95
119.04,115.35
115.25,111.68
80.25,77.76
98.43,95.38
107.29,103.97
93.31,90.42
125.73,121.83
97.47,94.45
102.9,99.71
81.59,79.07
115.11,111.55
120.65,116.91
128.91,124.92
91.43,88.6
89.54,86.77
99.79,96.7
101.27,98.13
187.44,181.63
76.19,73.83
83.87,81.28
120.25,116.53
113.93,110.41
92.83,89.95
104.51,101.27
107.33,104.01
117.75,114.1
94.5,91.57
110.61,107.19
113.35,109.84
104.09,100.87
108.49,105.13
94.56,91.63
80.27,77.79
112.96,109.47
154.85,150.06
102.83,99.65
98.38,95.34
115.52,111.95
97.9,94.86
86.26,83.59
91.58,88.74
119.64,115.94
95.11,92.17
86.87,84.18
98.57,95.52
116.64,113.03
90.39,87.59
102.68,99.5
113.28,109.77
127.56,123.61
109.82,106.42
93.02,90.14
173.17,167.81
100.66,97.54
112.93,109.44
98.63,95.58
106.78,103.48
97.83,94.8
92.0,89.15
151.36,146.67
113.68,110.16
115.12,111.56
90.6,87.8
108.38,105.03
115.99,112.4
97.23,94.22
97.52,94.5
94.52,91.59
81.2,78.68
93.65,90.75
110.03,106.62
91.88,89.04
89.46,86.69
119.54,115.83
94.94,92.0
118.4,114.74
89.44,86.67
124.84,120.98
117.45,113.81
102.12,98.96
101.92,98.77
100.69,97.57
114.43,110.88
107.83,104.49
78.11,75.69
88.85,86.1
84.12,81.51
83.09,80.52
99.34,96.26
102.93,99.74
85.64,82.98
92.84,89.97
105.04,101.79
110.09,106.68
114.44,110.9
119.75,116.04
107.25,103.93
80.48,77.98
120.16,116.44
92.89,90.01
87.76,85.04
107.93,104.59
108.55,105.19
108.54,105.18
115.94,112.35
101.17,98.04
92.71,89.84
117.28,113.65
111.0,107.56
126.24,122.33
166.32,161.17
110.19,106.78
100.74,97.62
119.63,115.92
158.38,153.47
113.47,109.96
111.95,108.48
91.6,88.77
105.97,102.69
80.14,77.66
111.9,108.44
110.93,107.49
94.75,91.82
104.66,101.42
87.18,84.48
86.36,83.69
107.91,104.56
92.66,89.79
80.18,77.7
121.63,117.86
115.76,112.18
78.75,76.31
111.72,108.26
80.7,78.2
114.55,111.0
161.6,156.59
105.95,102.67
81.41,78.89
91.81,88.96
96.94,93.94
114.8,111.25
99.87,96.78
123.77,119.93
109.1,105.73
163.42,158.37
79.24,76.79
108.47,105.12
94.24,91.32
86.92,84.22
108.28,104.93
97.42,94.41
188.45,182.61
81.2,78.68
106.83,103.52
116.99,113.37
84.86,82.23
100.19,97.09
92.6,89.73
94.08,91.17
95.7,92.74
83.77,81.18
86.45,83.78
101.22,98.09
114.94,111.39
103.65,100.45
88.91,86.16
90.48,87.68
95.57,92.61
95.43,92.47
99.1,96.03
125.54,121.65
131.78,127.7
195.86,189.8
85.62,82.97
98.59,95.54
99.56,96.48
92.43,89.57
95.06,92.11
91.95,89.11
101.47,98.33
110.72,107.29
82.89,80.32
113.8,110.27
117.79,114.14
110.66,107.23
86.13,83.46
87.4,84.7
105.94,102.66
96.63,93.64
117.6,113.96
85.74,83.09
93.16,90.27
99.14,96.08
77.53,75.13
95.84,92.87
104.03,100.81
112.51,109.03
117.83,114.19
107.85,104.51
123.04,119.23
115.31,111.74
83.1,80.53
104.2,100.98
89.92,87.14
123.98,120.14
112.64,109.15
78.16,75.74
109.0,105.62
123.17,119.36
109.97,106.56
103.41,100.21
114.27,110.73
106.44,103.15
79.28,76.83
89.63,86.85
94.86,91.92
110.53,107.11
88.03,85.31
111.96,108.49
111.65,108.19
108.81,105.44
116.99,113.37
85.32,82.68
79.35,76.89
170.71,165.42
105.74,102.47
109.36,105.97
94.17,91.25
108.28,104.92
130.06,126.03
118.12,114.47
84.93,82.3
96.89,93.89
116.69,113.08
110.33,106.92
107.54,104.21
93.46,90.57
89.67,86.9
103.39,100.19
82.59,80.03
80.97,78.46
87.02,84.33
153.66,148.91
155.54,150.72
101.37,98.23
125.92,122.02
116.08,112.49
98.82,95.76
92.23,89.38
109.38,106.0
114.0,110.47
