dissim_norm
0.51
-1.83
-0.66
0.12
-0.05
1.05
-0.11
1.57
0.23
1.42
1.12
0.42
-0.23
-0.32
-0.68
0.87
-1.09
0.07
-0.8
-0.65
0.66
1.65
0.8
-0.6
-1.34
0.43
0.06
-0.71
-0.19
-0.52
0.13
1.05
-1.13
0.54
-0.97
2.69
1.02
-1.59
-1.24
-1.43
0.02
1.83
-0.7
-1.96
-0.32
0.69
-0.76
0.52
0.94
-0.53
